titleName,url,discountedPrice,originalPrice
 10 x KN95 Mask Child Mouth Mask Kids 5-Ply Anti-Haze Face Mask Respirator ,https://www.tinydeal.com/10-x-kn95-mask-child-mouth-mask-kids-5-ply-anti-haze-face-mask-respirator-p-200339.html,$24.37,$45.10 
 Type-C to USB 3.0 Type A OTG Adapter ,https://www.tinydeal.com/type-to-usb-30-type-a-otg-adapter-p-178935.html,$1.24,$6.03 
 Mushroom Style 1/5W Light Sensor LED Night Lamp ,https://www.tinydeal.com/mushroom-style-15w-light-sensor-led-night-lamp-p-80565.html,$1.88,$3.41 
 LF606 2.4Ghz Mini Fold Drone WiFi RC Drone ,https://www.tinydeal.com/lf606-24ghz-mini-fold-drone-wifi-rc-drone-p-178240.html,$17.92,$18.14 
 Stainless Steel Mini EDC Multifunction Screwdriver Key Shape Slotted Screwdriver ,https://www.tinydeal.com/stainless-steel-mini-edc-multifunction-screwdriver-key-shape-slotted-screwdriver-p-178668.html,$1.71,$1.76 
 SKMEI Double Japan Movts 30m Waterproof LED Sports Unisex Wrist Watch ,https://www.tinydeal.com/skmei-double-japan-movts-30m-waterproof-led-sports-unisex-wrist-watch-p-156808.html,$8.01,$8.57 
 Breathable Mesh Hanging Kitchen Garbage Bag Storage Packing Pouch Bags ,https://www.tinydeal.com/breathable-mesh-hanging-kitchen-garbage-bag-storage-packing-pouch-bags-p-174904.html,$2.34,$2.75 
 Multipurpose Clothespin Hanging Storage Bag ,https://www.tinydeal.com/multipurpose-clothespin-hanging-storage-bag-p-176562.html,$1.76,$1.89 
 Flexible Detachable Low Power Consumption Silence USB Fan ,https://www.tinydeal.com/flexible-detachable-low-power-consumption-silence-usb-fan-p-176004.html,$1.35,$5.85 
 2pcs DC 12V 2W 41mm Festoon 6000K LED Car White Light Lamp ,https://www.tinydeal.com/2pcs-dc-12v-2w-41mm-festoon-6000k-led-car-white-light-lamp-p-51560.html,$2.18,$2.33 
 50pcs/Pack Cable Ties Reusable Fastening Cable Straps Strips Wire Cord Organizer ,https://www.tinydeal.com/50pcspack-cable-ties-reusable-fastening-cable-straps-strips-wire-cord-organizer-p-172660.html,$2.35,$2.52 
 18g Super Strong Sealant Fix Metal Adhesive Sealing Glue Bond ,https://www.tinydeal.com/18g-super-strong-sealant-fix-metal-adhesive-sealing-glue-bond-p-177571.html,$1.08,$3.55 
 M165 Mini Bluetooth 4.1 Wireless Earphone with Mic Volume Adjustable for Phone ,https://www.tinydeal.com/m165-mini-bluetooth-41-wireless-earphone-with-mic-volume-adjustable-for-phone-p-182813.html,$2.82,$5.46 
 Breathable Pet Harness Dog Vest Pet Chest Strap ,https://www.tinydeal.com/breathable-pet-harness-dog-vest-pet-chest-strap-p-158781.html,$1.54,$1.88 
